series,month,sales
series1,1,24.31
series1,2,32.34
series1,3,21.76
series1,4,20.87
series1,5,20.09
series1,6,30.93
series1,7,32.56
series1,8,36.65
series1,9,42.69
series1,10,39.45
series1,11,44.1
series1,12,44.46
series2,1,21.85
series2,2,22.01
series2,3,26.03
series2,4,28.69
series2,5,35.89
series2,6,36.32
series2,7,41.64
series2,8,46.32
series2,9,48.43
series2,10,54.43
series2,11,53.97
series2,12,59.62
series3,1,71.22
series3,2,71.13
series3,3,71.57
series3,4,77.47
series3,5,80.48
series3,6,75.42
series3,7,74.28
series3,8,75.12
series3,9,80.91
series3,10,81.96
series3,11,83.08
series3,12,85.05
series4,1,7.18
series4,2,8.51
series4,3,9.07
series4,4,11.11
series4,5,15.98
series4,6,14.53
series4,7,16.54
series4,8,18.31
series4,9,22.36
series4,10,20.44
series4,11,34.45
series4,12,38.69